n,x,abs(x)
223,0.7421875,0.62109375
224,0.75,0.625
225,0.7578125,0.63671875
226,0.765625,0.6484375
227,0.7734375,0.66015625
228,0.78125,0.671875
229,0.7890625,0.68359375
230,0.796875,0.6953125
231,0.8046875,0.70703125
232,0.8125,0.71875
233,0.8203125,0.73046875
234,0.828125,0.7421875
235,0.8359375,0.75390625
236,0.84375,0.765625
237,0.8515625,0.77734375
238,0.859375,0.7890625
239,0.8671875,0.80078125
240,0.875,0.8125
241,0.8828125,0.82421875
242,0.890625,0.8359375
243,0.8984375,0.84765625
244,0.90625,0.859375
245,0.9140625,0.87109375
246,0.921875,0.8828125
247,0.9296875,0.89453125
248,0.9375,0.90625
249,0.9453125,0.91796875
250,0.953125,0.9296875
251,0.9609375,0.94140625
252,0.96875,0.953125
253,0.9765625,0.96484375
254,0.984375,0.9765625
255,0.9921875,0.98828125
256,1,1
