n,x,x
229,0.7890625,0.7890625
230,0.796875,0.796875
231,0.8046875,0.8046875
232,0.8125,0.8125
233,0.8203125,0.8203125
234,0.828125,0.828125
235,0.8359375,0.8359375
236,0.84375,0.84375
237,0.8515625,0.8515625
238,0.859375,0.859375
239,0.8671875,0.8671875
240,0.875,0.875
241,0.8828125,0.8828125
242,0.890625,0.890625
243,0.8984375,0.8984375
244,0.90625,0.90625
245,0.9140625,0.9140625
246,0.921875,0.921875
247,0.9296875,0.9296875
248,0.9375,0.9375
249,0.9453125,0.9453125
250,0.953125,0.953125
251,0.9609375,0.9609375
252,0.96875,0.96875
253,0.9765625,0.9765625
254,0.984375,0.984375
255,0.9921875,0.9921875
256,1,1
